"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","A Realm Reborn","fin","Near Mint","English","","","2026-07-08 23:22:59.113000","196","False","False","0.33"
"1","1","A.I.M. Labs","msh","Near Mint","English","foil","","2026-07-08 23:22:59.113000","257","False","False","0.38"
"1","1","A.I.M. Scientists","msh","Near Mint","English","foil","","2026-07-08 23:22:59.113000","44","False","False","0.26"
"1","1","Aang, at the Crossroads // Aang, Destined Savior","tla","Near Mint","English","","","2026-07-08 23:22:59.113000","203","False","False","1.12"
"1","1","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","Near Mint","English","","","2026-07-08 23:22:59.113000","204","False","False","3.14"
"2","2","Aang, the Last Airbender","tla","Near Mint","English","","","2026-07-08 23:22:59.113000","4","False","False","0.07"
"3","3","Aang's Journey","tla","Near Mint","English","","","2026-07-08 23:22:59.113000","1","False","False","0.07"
"1","1","Aatchik, Emerald Radian","dft","Near Mint","English","foil","","2026-07-08 23:22:59.113000","187","False","False","0.36"
"1","1","Aatchik, Emerald Radian","dft","Near Mint","English","foil","","2026-07-08 23:22:59.113000","360","False","False","0.48"
"3","3","Abandon Attachments","tla","Near Mint","English","","","2026-07-08 23:22:59.113000","205","False","False","0.14"
"1","1","Aberrant Manawurm","sos","Near Mint","English","","","2026-07-08 23:22:59.113000","138","False","False","0.08"
"1","1","Abigale, Eloquent First-Year","ecl","Near Mint","English","","","2026-07-08 23:22:59.113000","204","False","False","0.61"
"2","2","Abomination, Terrifying Titan","msh","Near Mint","English","foil","","2026-07-08 23:22:59.113000","333","False","False","0.19"
"1","1","Abomination, Terrifying Titan","msh","Near Mint","English","","","2026-07-08 23:22:59.113000","198","False","False","0.21"
"1","1","Abrade","fdn","Near Mint","English","","","2026-07-08 23:22:59.113000","327","False","False","0.58"
"1","1","Abrade","tdc","Near Mint","English","","","2026-07-08 23:22:59.113000","203","False","False","0.19"
"1","1","Abrade","sld","Near Mint","English","foil","","2026-07-08 23:22:59.113000","2390","False","False",""
"1","1","Absorbing Man","msh","Near Mint","English","foil","","2026-07-08 23:22:59.113000","199","False","False","0.92"
"1","1","Absorbing Man and Titania","msc","Near Mint","English","","","2026-07-08 23:22:59.113000","510","False","False","5.83"
"1","1","Abstruse Appropriation","mh3","Near Mint","English","","","2026-07-08 23:22:59.113000","177","False","False","0.25"
"2","2","Abundant Growth","inr","Near Mint","English","","","2026-07-08 23:22:59.113000","184","False","False","0.11"
"1","1","Abyssal Harvester","fdn","Near Mint","English","","","2026-07-08 23:22:59.113000","54","False","False","0.43"
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2026-07-08 23:22:59.113000","68","False","False","0.12"
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2026-07-08 23:22:59.113000","68","False","False","0.13"
"3","3","Abzan Devotee","tdm","Near Mint","English","","","2026-07-08 23:22:59.113000","68","False","False","0.13"
"1","1","Abzan Devotee","tdm","Near Mint","English","foil","","2026-07-08 23:22:59.113000","68","False","False","0.20"
"1","1","Abzan Monument","tdm","Near Mint","English","","","2026-07-08 23:22:59.113000","238","False","False","0.19"
"1","1","Abzan Monument","tdm","Near Mint","English","","","2026-07-08 23:22:59.113000","238","False","False","0.15"
"2","2","Accumulate Wisdom","tla","Near Mint","English","","","2026-07-08 23:22:59.113000","44","False","False","0.45"
"1","1","Acidic Slime","m3c","Near Mint","English","","","2026-07-08 23:22:59.113000","218","False","False","0.34"
"1","1","Adagia, Windswept Bastion","eoe","Near Mint","English","","","2026-07-08 23:22:59.113000","250","False","False","6.42"
"1","1","Adaptive Automaton","fdn","Near Mint","English","foil","","2026-07-08 23:22:59.113000","723","False","False","0.72"
"1","1","Adaptive Omnitool","drc","Near Mint","English","","","2026-07-08 23:22:59.113000","16","False","False","1.05"
"1","1","Adarkar Wastes","blc","Near Mint","English","","","2026-07-08 23:22:59.113000","291","False","False","0.23"
